Algorithm,Mean Accuracy,Std
Linear Classifier,0.5762204462204461,0.06060534968277345
Logistic Regression,0.6648268398268398,0.05421032369970988
KNN,0.6726556776556777,0.05684856250123974
Gaussian NB,0.6133466533466533,0.056110813617047665
Neural Network,0.6378671328671329,0.0596361409988737
