Algorithm,Best Feature Subset,Number of Features,Selection Mean Accuracy,Selection Std,Mean Accuracy,Std
Linear Classifier,nHM,1,0.5480727874276261,0.044348856557111974,0.5115118215118215,0.09788725623217857
Logistic Regression,"ON1V, B02[C-N], piPC09",3,0.6636311000827131,0.016391067785547553,0.6632750582750585,0.05486681305422992
KNN,"ON1V, F04[C-O]",2,0.645682382133995,0.03763403230162994,0.6669730269730269,0.049923956554501804
Gaussian NB,"ON1V, MLOGP, B02[C-N], nHM",4,0.6713482216708023,0.024055453407375634,0.6682750582750585,0.054678224838837386
Neural Network,nHM,1,0.5904714640198512,0.09996001543125518,0.5905161505161505,0.05166307005525655
