Algorithm,Step,Candidate Added,Features,Selection Mean Accuracy,Selection Std
Gaussian NB,2,PCD,"ON1V, PCD",0.6341025641025642,0.01904353295141247
Gaussian NB,2,X2Av,"ON1V, X2Av",0.6379735318444995,0.021317407191237082
Gaussian NB,2,MLOGP,"ON1V, MLOGP",0.6456492969396195,0.02284230189201102
Gaussian NB,2,N-072,"ON1V, N-072",0.6315136476426799,0.034366971937210666
Gaussian NB,2,B02[C-N],"ON1V, B02[C-N]",0.6430769230769231,0.026030377237354848
Gaussian NB,2,F04[C-O],"ON1V, F04[C-O]",0.6264102564102564,0.022199857253244495
Gaussian NB,3,nHM,"ON1V, MLOGP, nHM",0.6546732837055418,0.01137792210234281
Gaussian NB,3,piPC09,"ON1V, MLOGP, piPC09",0.6405045492142266,0.029210306168415717
Gaussian NB,3,PCD,"ON1V, MLOGP, PCD",0.6494954507857733,0.02335328176949069
Gaussian NB,3,X2Av,"ON1V, MLOGP, X2Av",0.6161621174524401,0.04113251508000153
Gaussian NB,3,N-072,"ON1V, MLOGP, N-072",0.6405210918114144,0.026594358965915988
Gaussian NB,3,B02[C-N],"ON1V, MLOGP, B02[C-N]",0.6597601323407775,0.026513866648628658
Gaussian NB,3,F04[C-O],"ON1V, MLOGP, F04[C-O]",0.6302564102564102,0.016430276249846987
Gaussian NB,4,nHM,"ON1V, MLOGP, B02[C-N], nHM",0.6713482216708023,0.015397448332926533
Gaussian NB,4,piPC09,"ON1V, MLOGP, B02[C-N], piPC09",0.6225558312655087,0.032979676650723794
Gaussian NB,4,PCD,"ON1V, MLOGP, B02[C-N], PCD",0.6687344913151365,0.02921039282715547
Gaussian NB,4,X2Av,"ON1V, MLOGP, B02[C-N], X2Av",0.6225806451612903,0.04930890795701145
Gaussian NB,4,N-072,"ON1V, MLOGP, B02[C-N], N-072",0.6572043010752688,0.03186859969099388
Gaussian NB,4,F04[C-O],"ON1V, MLOGP, B02[C-N], F04[C-O]",0.6405293631100083,0.014395743137359552
Gaussian NB,5,piPC09,"ON1V, MLOGP, B02[C-N], nHM, piPC09",0.6456906534325889,0.04048953496195752
Gaussian NB,5,PCD,"ON1V, MLOGP, B02[C-N], nHM, PCD",0.6636559139784947,0.024055453407375634
Gaussian NB,5,X2Av,"ON1V, MLOGP, B02[C-N], nHM, X2Av",0.6277253928866833,0.05903787108542149
Gaussian NB,5,N-072,"ON1V, MLOGP, B02[C-N], nHM, N-072",0.6585277088502896,0.024901930957970903
Gaussian NB,5,F04[C-O],"ON1V, MLOGP, B02[C-N], nHM, F04[C-O]",0.6495450785773367,0.016613475123651144
Neural Network,1,nHM,nHM,0.5904714640198512,0.023936266398824704
Neural Network,1,piPC09,piPC09,0.5686517783291977,0.04417891754747888
Neural Network,1,PCD,PCD,0.5904714640198512,0.023936266398824704
Neural Network,1,X2Av,X2Av,0.5020099255583126,0.1851262875162539
Neural Network,1,MLOGP,MLOGP,0.5827791563275435,0.026255225503734266
Neural Network,1,ON1V,ON1V,0.5711993382961126,0.029765076778083332
Neural Network,1,N-072,N-072,0.1553763440860215,0.022033969439870037
Neural Network,1,B02[C-N],B02[C-N],0.3376344086021506,0.029094932103074445
Neural Network,1,F04[C-O],F04[C-O],0.5904714640198512,0.023936266398824704
Neural Network,2,piPC09,"nHM, piPC09",0.3581389578163772,0.02946527967517126
Neural Network,2,PCD,"nHM, PCD",0.4251033912324235,0.13064059877387052
Neural Network,2,X2Av,"nHM, X2Av",0.38663358147229115,0.09671364000908
Neural Network,2,MLOGP,"nHM, MLOGP",0.390206782464847,0.05358882632181627
Neural Network,2,ON1V,"nHM, ON1V",0.442812241521919,0.09996001543125518
Neural Network,2,N-072,"nHM, N-072",0.3234491315136476,0.039111174534300096
Neural Network,2,B02[C-N],"nHM, B02[C-N]",0.27215880893300254,0.03673170371544024
Neural Network,2,F04[C-O],"nHM, F04[C-O]",0.40679073614557487,0.0948606506795857
